"sample_id","group","library_size","detected_genes_count_gt0"
"CON1","Control_t0",10625439,20955
"CON2","Control_t0",8000690,19900
"CON3","Control_t0",12107657,21212
"CON4","Control_t0",14011784,21591
"CON5","Control_t0",18316030,21689
"CON6","Control_t0",10742940,20594
"INJS1","ACLT_t7",14263343,20403
"INJS2","ACLT_t7",13541819,20114
"INJS3","ACLT_t7",12222584,20256
"INJS4","ACLT_t7",8969248,19694
"INJS5","ACLT_t7",12291971,20098
"INJS6","ACLT_t7",7587994,19455
"INJL1","ACLT_t28",10166423,19727
"INJL2","ACLT_t28",9537502,19378
"INJL3","ACLT_t28",12302593,19816
"INJL4","ACLT_t28",13810820,19648
"INJL5","ACLT_t28",11827863,20015
"INJL6","ACLT_t28",9594833,19890
