"category","CON1.bam","CON2.bam","CON3.bam","CON4.bam","CON5.bam","CON6.bam","INJS1.bam","INJS2.bam","INJS3.bam","INJS4.bam","INJS5.bam","INJS6.bam","INJL1.bam","INJL2.bam","INJL3.bam","INJL4.bam","INJL5.bam","INJL6.bam"
"Assigned",9802241,7182805,10664100,13210214,17038498,10394313,14050912,13326409,12059998,8857217,12116184,7482593,9737507,9393742,12121875,13604350,11646492,9446634
"Unassigned_Unmapped",2726316,2384711,4553795,2912910,4214857,1303116,1838271,2080466,1037020,853056,1637447,844831,2192523,1194917,1169544,2180918,1711589,799370
"Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Singleton",232330,204973,280317,266355,349781,274230,318222,243640,276866,250036,285361,149413,216604,250261,263729,224276,229120,246224
"Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NoFeatures",2264531,1643653,2657541,2650994,3172325,1661647,1686895,1559967,1752476,1172299,1567243,1031086,1633941,1204251,1552420,1564309,1582710,1477961
"Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Ambiguity",298563,247018,390603,436398,550013,315342,388232,383712,353362,262628,339148,206175,290820,243881,302662,329585,321235,253789
