"Status","CON1","CON2","CON3","CON4","CON5","CON6","INJS1","INJS2","INJS3","INJS4","INJS5","INJS6","INJL1","INJL2","INJL3","INJL4","INJL5","INJL6"
"Assigned",10625439,8000690,12107657,14011784,18316030,10742940,14263343,13541819,12222584,8969248,12291971,7587994,10166423,9537502,12302593,13810820,11827863,9594833
"Unassigned_Unmapped",522610,247193,713027,836298,1086927,495081,1358242,1599439,709102,614273,1240565,624433,1075965,859072,763955,1666743,1301273,456832
"Unassigned_Read_Type",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Singleton",241009,208723,308513,268559,365080,270388,325602,233995,276080,240653,291626,146376,219866,240390,269180,208120,228188,235968
"Unassigned_MappingQuality",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Chimera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_FragmentLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Duplicate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_MultiMapping",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Secondary",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NonSplit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_NoFeatures",2626167,2027490,3414315,3101241,3802933,1829776,1783934,1650063,1826943,1221499,1651625,1077582,1824186,1264162,1634917,1656089,1665750,1545936
"Unassigned_Overlapping_Length",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Unassigned_Ambiguity",1265095,1133731,1953852,1167928,1678891,575627,514600,508006,420820,321561,441533,247770,755857,348738,422793,489478,425415,350608
